n,blocksPerGrid,threadsPerBlock,timeCPU, timeGPU
1,1,1024,0.002000,0.021000
10001,10,1024,0.031000,0.033000
20001,20,1024,0.089000,0.060000
30001,30,1024,0.131000,0.090000
40001,40,1024,0.174000,0.108000
50001,49,1024,0.216000,0.140000
60001,59,1024,0.262000,0.157000
70001,69,1024,0.307000,0.188000
80001,79,1024,0.357000,0.204000
90001,88,1024,0.396000,0.245000
100001,98,1024,0.436000,0.273000
110001,108,1024,0.486000,0.312000
120001,118,1024,0.543000,0.338000
130001,127,1024,0.586000,0.364000
140001,137,1024,0.634000,0.400000
150001,147,1024,0.675000,0.424000
160001,157,1024,0.718000,0.464000
170001,167,1024,0.755000,0.481000
180001,176,1024,0.812000,0.518000
190001,186,1024,0.861000,0.538000
200001,196,1024,0.902000,0.574000
210001,206,1024,0.938000,0.592000
220001,215,1024,0.984000,0.629000
230001,225,1024,1.032000,0.648000
240001,235,1024,1.093000,0.682000
250001,245,1024,1.118000,0.704000
260001,254,1024,1.167000,0.741000
270001,264,1024,1.202000,0.755000
280001,274,1024,1.243000,0.777000
290001,284,1024,1.268000,0.792000
300001,293,1024,1.309000,0.817000
310001,303,1024,1.398000,0.924000
320001,313,1024,1.435000,0.853000
330001,323,1024,1.448000,0.867000
340001,333,1024,1.495000,0.881000
350001,342,1024,1.565000,0.899000
360001,352,1024,1.579000,0.923000
370001,362,1024,1.623000,0.952000
380001,372,1024,1.660000,0.961000
390001,381,1024,1.715000,0.976000
400001,391,1024,1.757000,0.959000
410001,401,1024,1.794000,1.008000
420001,411,1024,1.843000,1.029000
430001,420,1024,1.914000,1.045000
440001,430,1024,1.942000,1.065000
450001,440,1024,2.054000,1.083000
460001,450,1024,2.101000,1.095000
470001,459,1024,2.154000,1.171000
480001,469,1024,2.107000,1.157000
490001,479,1024,2.215000,1.150000
500001,489,1024,2.200000,1.169000
510001,499,1024,2.314000,1.198000
520001,508,1024,2.333000,1.201000
530001,518,1024,2.329000,0.865000
540001,528,1024,2.486000,0.897000
550001,538,1024,2.498000,0.906000
560001,547,1024,2.483000,0.927000
570001,557,1024,2.506000,0.935000
580001,567,1024,2.554000,0.961000
590001,577,1024,2.600000,0.975000
600001,586,1024,2.666000,0.989000
610001,596,1024,2.742000,1.006000
620001,606,1024,2.813000,1.033000
630001,616,1024,2.858000,1.042000
640001,626,1024,2.923000,1.052000
650001,635,1024,2.911000,1.083000
660001,645,1024,2.920000,1.074000
670001,655,1024,2.949000,1.118000
680001,665,1024,3.172000,1.152000
690001,674,1024,3.180000,5.954000
700001,684,1024,3.191000,1.178000
710001,694,1024,3.142000,1.199000
720001,704,1024,3.181000,1.208000
730001,713,1024,3.287000,1.229000
740001,723,1024,3.268000,1.259000
750001,733,1024,3.277000,1.240000
760001,743,1024,3.382000,1.275000
770001,752,1024,3.415000,1.964000
780001,762,1024,3.433000,1.376000
790001,772,1024,3.450000,0.979000
800001,782,1024,3.497000,0.998000
810001,792,1024,3.552000,1.033000
820001,801,1024,3.629000,1.040000
830001,811,1024,3.723000,1.047000
840001,821,1024,3.680000,1.075000
850001,831,1024,3.762000,1.093000
860001,840,1024,3.753000,1.103000
870001,850,1024,3.816000,1.110000
880001,860,1024,3.848000,1.133000
890001,870,1024,3.917000,1.165000
900001,879,1024,4.609000,1.180000
910001,889,1024,5.107000,1.498000
920001,899,1024,4.211000,1.612000
930001,909,1024,4.120000,1.263000
940001,918,1024,4.130000,1.743000
950001,928,1024,4.151000,1.269000
960001,938,1024,4.174000,1.286000
970001,948,1024,4.248000,1.310000
980001,958,1024,4.777000,1.559000
990001,967,1024,4.439000,1.346000
