n,blocksPerGrid,threadsPerBlock,timeCPU, timeGPU
100000,100,1024,1.349000,0.268000
100000,1100,1024,1.317000,0.312000
100000,2100,1024,1.288000,0.366000
100000,3100,1024,1.326000,0.927000
100000,4100,1024,0.900000,0.472000
100000,5100,1024,0.579000,0.511000
100000,6100,1024,0.491000,0.548000
100000,7100,1024,0.445000,0.595000
100000,8100,1024,0.442000,0.641000
100000,9100,1024,0.453000,0.810000
100000,10100,1024,0.435000,0.744000
100000,11100,1024,0.441000,0.778000
100000,12100,1024,0.438000,0.850000
100000,13100,1024,0.461000,0.866000
100000,14100,1024,0.432000,0.914000
100000,15100,1024,0.432000,0.954000
100000,16100,1024,0.437000,1.004000
100000,17100,1024,0.434000,1.046000
100000,18100,1024,0.482000,1.096000
100000,19100,1024,0.433000,1.142000
100000,20100,1024,0.438000,1.186000
100000,21100,1024,0.429000,1.229000
100000,22100,1024,0.444000,1.279000
100000,23100,1024,0.479000,1.322000
100000,24100,1024,0.444000,1.540000
100000,25100,1024,0.454000,1.631000
100000,26100,1024,0.437000,1.459000
100000,27100,1024,0.438000,2.221000
100000,28100,1024,0.438000,1.563000
100000,29100,1024,0.438000,2.104000
100000,30100,1024,0.447000,1.800000
100000,31100,1024,0.435000,1.700000
100000,32100,1024,0.429000,1.731000
100000,33100,1024,0.465000,2.501000
100000,34100,1024,0.433000,1.831000
100000,35100,1024,0.433000,1.868000
100000,36100,1024,0.434000,1.913000
100000,37100,1024,0.451000,1.958000
100000,38100,1024,0.432000,2.005000
100000,39100,1024,0.432000,2.050000
100000,40100,1024,0.426000,2.093000
100000,41100,1024,0.439000,2.144000
100000,42100,1024,0.438000,2.189000
100000,43100,1024,0.430000,2.236000
100000,44100,1024,0.435000,2.278000
100000,45100,1024,0.436000,2.324000
100000,46100,1024,0.433000,2.369000
100000,47100,1024,0.439000,2.417000
100000,48100,1024,0.435000,2.408000
100000,49100,1024,0.428000,2.470000
100000,50100,1024,0.433000,2.496000
100000,51100,1024,0.433000,2.541000
100000,52100,1024,0.460000,2.584000
100000,53100,1024,0.439000,2.633000
100000,54100,1024,0.431000,2.671000
100000,55100,1024,0.429000,2.715000
100000,56100,1024,0.439000,2.761000
100000,57100,1024,0.431000,2.806000
100000,58100,1024,0.435000,2.853000
100000,59100,1024,0.432000,2.896000
100000,60100,1024,0.439000,2.941000
100000,61100,1024,0.440000,2.986000
100000,62100,1024,0.434000,3.029000
100000,63100,1024,0.435000,3.071000
100000,64100,1024,0.439000,3.117000
100000,65100,1024,0.431000,3.165000
100000,66100,1024,0.439000,3.207000
100000,67100,1024,0.470000,3.254000
100000,68100,1024,0.431000,3.298000
100000,69100,1024,0.439000,3.344000
100000,70100,1024,0.446000,3.389000
100000,71100,1024,0.438000,3.431000
100000,72100,1024,0.453000,3.473000
100000,73100,1024,0.431000,3.519000
100000,74100,1024,0.480000,3.562000
100000,75100,1024,0.432000,3.607000
100000,76100,1024,0.437000,3.540000
100000,77100,1024,0.433000,3.509000
100000,78100,1024,0.434000,3.551000
100000,79100,1024,0.437000,3.592000
100000,80100,1024,0.433000,3.636000
100000,81100,1024,0.437000,3.675000
100000,82100,1024,0.431000,3.716000
100000,83100,1024,0.428000,3.760000
100000,84100,1024,0.434000,3.797000
100000,85100,1024,0.436000,3.844000
100000,86100,1024,0.439000,3.888000
100000,87100,1024,0.437000,3.926000
100000,88100,1024,0.431000,3.967000
100000,89100,1024,0.435000,4.010000
100000,90100,1024,0.437000,4.060000
100000,91100,1024,0.437000,4.096000
100000,92100,1024,0.439000,4.139000
100000,93100,1024,0.433000,4.180000
100000,94100,1024,0.435000,4.219000
100000,95100,1024,0.433000,4.266000
100000,96100,1024,0.476000,4.302000
100000,97100,1024,0.438000,4.352000
100000,98100,1024,0.573000,4.809000
100000,99100,1024,0.574000,5.034000
