n,blocksPerGrid,threadsPerBlock,timeCPU, timeGPU
1000000,1000000,1,4.481000,8.354000
1000000,30304,33,4.439000,1.388000
1000000,15385,65,4.446000,1.370000
1000000,10310,97,4.492000,1.367000
1000000,7752,129,4.472000,1.360000
1000000,6212,161,4.511000,1.366000
1000000,5182,193,4.441000,1.379000
1000000,4445,225,4.564000,1.366000
1000000,3892,257,4.476000,1.719000
1000000,3461,289,4.466000,1.359000
1000000,3116,321,4.448000,1.363000
1000000,2833,353,4.446000,1.337000
1000000,2598,385,4.470000,1.361000
1000000,2399,417,4.509000,1.364000
1000000,2228,449,4.499000,1.934000
1000000,2080,481,4.430000,1.348000
1000000,1950,513,4.585000,1.369000
1000000,1835,545,4.462000,6.338000
1000000,1734,577,4.389000,1.376000
1000000,1643,609,4.414000,1.365000
1000000,1561,641,4.373000,1.367000
1000000,1486,673,4.437000,1.380000
1000000,1419,705,4.409000,1.742000
1000000,1357,737,4.401000,1.376000
1000000,1301,769,4.367000,1.377000
1000000,1249,801,4.373000,1.480000
1000000,1201,833,4.428000,1.370000
1000000,1157,865,4.474000,1.366000
1000000,1115,897,4.380000,1.364000
1000000,1077,929,4.464000,1.325000
1000000,1041,961,4.387000,1.365000
1000000,1008,993,4.360000,1.375000
