N   ,blocksPerGrid,threadsPerBlock,timeGPU   ,type
32  ,2            ,16             ,0.434451  ,global
64  ,4            ,16             ,0.396423  ,global
128 ,8            ,16             ,0.597167  ,global
256 ,16           ,16             ,1.663342  ,global
512 ,32           ,16             ,7.831548  ,global
1024,64           ,16             ,29.840964 ,global
1536,96           ,16             ,68.931988 ,global
2048,128          ,16             ,112.407943,global
32  ,2            ,16             ,0.383706  ,shared
64  ,4            ,16             ,0.471545  ,shared
128 ,8            ,16             ,0.792824  ,shared
256 ,16           ,16             ,2.196796  ,shared
512 ,32           ,16             ,10.974000 ,shared
1024,64           ,16             ,40.406150 ,shared
1536,96           ,16             ,91.339111 ,shared
2048,128          ,16             ,157.988216,shared
32  ,2            ,16             ,0.314616  ,texture
64  ,4            ,16             ,0.349860  ,texture
128 ,8            ,16             ,0.530839  ,texture
256 ,16           ,16             ,1.234569  ,texture
512 ,32           ,16             ,7.785868  ,texture
1024,64           ,16             ,27.817072 ,texture
1536,96           ,16             ,67.473865 ,texture
2048,128          ,16             ,117.552044,texture
